# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Nov  4 06:50:47 2018
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_optmag,st_optband,gaia_gmag,st_teff,st_mass,st_rad,rowupdate,pl_facility
11,2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,1,,52.000000,,,24.50000,Mass,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.00,14.240,V (Johnson),12.903,3530.00,0.40,,2014-05-14,W. M. Keck Observatory
12,2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,1,,156.000000,,,13.90000,Mass,1.440,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.40,,,15.012,3064.00,0.11,0.28,2015-05-14,Cerro Tololo Inter-American Observatory
13,2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,1,,15.000000,,,7.50000,Mass,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.00,,,18.967,,0.02,,2014-05-14,Hubble Space Telescope
14,2MASS J12073346-3932539,b,2MASS J12073346-3932539 b,Imaging,1,,46.000000,,,4.00000,Mass,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.40,20.150,V (Johnson),17.408,,0.02,,2014-05-14,Paranal Observatory
15,2MASS J19383260+4603591,b,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416.00000000,0.920000,,,1.90000,Mass,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,396.36,12.264,Kepler-band,12.138,,0.48,,2015-06-04,Kepler
16,2MASS J21402931+1625183 A,b,2MASS J21402931+1625183 A b,Imaging,1,7336.50000000,,0.260000,46.200,20.95000,Mass,0.920,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.00,,,17.396,2300.00,0.08,0.12,2014-05-14,W. M. Keck Observatory
17,2MASS J22362452+4751425,b,2MASS J22362452+4751425 b,Imaging,1,,230.000000,,,12.50000,Mass,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.861820,74.00,12.510,V (Johnson),11.948,4045.00,0.60,,2016-11-10,W. M. Keck Observatory
18,30 Ari B,b,30 Ari B b,Radial Velocity,1,335.10001000,0.990000,0.290000,,13.82000,Msini,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,6.962,V (Johnson),6.961,6331.00,1.93,1.41,2018-09-06,Thueringer Landessternwarte Tautenburg
19,4 UMa,b,4 UMa b,Radial Velocity,1,269.30000000,0.870000,0.432000,,7.10000,Msini,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,4.610,V (Johnson),4.160,4415.00,1.23,18.11,2014-05-14,Thueringer Landessternwarte Tautenburg
20,42 Dra,b,42 Dra b,Radial Velocity,1,479.10000000,1.190000,0.380000,,3.88000,Msini,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,4.820,V (Johnson),4.364,4200.00,0.98,22.03,2014-05-14,Thueringer Landessternwarte Tautenburg
21,47 UMa,b,47 UMa b,Radial Velocity,3,1078.00000000,2.100000,0.032000,,2.53000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
22,47 UMa,c,47 UMa c,Radial Velocity,3,2391.00000000,3.600000,0.098000,,0.54000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
23,47 UMa,d,47 UMa d,Radial Velocity,3,14002.00000000,11.600000,0.160000,,1.64000,Msini,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.80,5.050,V (Johnson),4.831,5892.00,1.03,1.23,2014-05-14,Lick Observatory
24,51 Eri,b,51 Eri b,Imaging,1,,13.200000,,,2.00000,Mass,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.40,5.230,V (Johnson),5.122,,1.75,,2015-08-14,Gemini Observatory
25,51 Peg,b,51 Peg b,Radial Velocity,1,4.23078500,0.052700,0.013000,,0.47200,Msini,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,5.500,V (Johnson),5.256,5793.00,1.12,1.20,2014-05-14,Haute-Provence Observatory
26,55 Cnc,b,55 Cnc b,Radial Velocity,5,14.65152000,0.115227,0.003400,90.000,0.83060,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Lick Observatory
27,55 Cnc,c,55 Cnc c,Radial Velocity,5,44.41750000,0.241376,0.020000,90.000,0.17140,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,McDonald Observatory
28,55 Cnc,d,55 Cnc d,Radial Velocity,5,4825.00000000,5.503000,0.019000,90.000,3.87800,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Lick Observatory
29,55 Cnc,e,55 Cnc e,Radial Velocity,5,0.73653900,0.015440,,83.300,0.02542,Mass,0.170,6.40000,0,0,0,1,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2016-07-07,McDonald Observatory
30,55 Cnc,f,55 Cnc f,Radial Velocity,5,262.00000000,0.788000,0.305000,90.000,0.14100,Mass,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,5.960,V (Johnson),5.714,5196.00,0.91,0.94,2014-10-29,Multiple Observatories
31,6 Lyn,b,6 Lyn b,Radial Velocity,1,874.77400000,2.180000,0.125000,,2.21000,Msini,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,5.855,V (Johnson),5.588,4978.00,1.70,5.20,2015-09-03,Okayama Astrophysical Observatory
32,61 Vir,b,61 Vir b,Radial Velocity,3,4.21500000,0.050201,0.120000,,0.01600,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
33,61 Vir,c,61 Vir c,Radial Velocity,3,38.02100000,0.217500,0.140000,,0.05700,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
34,61 Vir,d,61 Vir d,Radial Velocity,3,123.01000000,0.476000,0.350000,,0.07200,Msini,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,4.740,V (Johnson),4.477,5577.00,0.94,0.96,2014-05-14,Multiple Observatories
35,7 CMa,b,7 CMa b,Radial Velocity,1,796.00000000,1.930000,0.220000,,2.46000,Msini,,,0,0,0,0,06h36m41.04s,99.170990,-19d15m21.2s,-19.255878,19.82,3.920,V (Johnson),3.578,4792.00,1.52,2.30,2015-10-22,Anglo-Australian Telescope
36,70 Vir,b,70 Vir b,Radial Velocity,1,116.68840000,0.480000,0.400000,,7.62000,Msini,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,4.980,V (Johnson),4.709,5531.00,1.14,1.84,2018-09-06,Lick Observatory
37,75 Cet,b,75 Cet b,Radial Velocity,1,691.90000000,2.100000,0.117000,,3.00000,Msini,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,5.350,V (Johnson),5.055,4846.00,2.49,10.50,2015-09-03,Okayama Astrophysical Observatory
38,8 UMi,b,8 UMi b,Radial Velocity,1,93.40000000,0.490000,0.060000,,1.31000,Msini,,,0,0,0,0,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.10,6.830,V (Johnson),6.559,4847.00,1.44,10.30,2018-09-06,Bohyunsan Optical Astronomical Observatory
39,81 Cet,b,81 Cet b,Radial Velocity,1,952.70000000,2.500000,0.206000,,5.30000,Msini,,,0,0,0,0,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,101.53,5.650,V (Johnson),5.349,4785.00,2.40,11.00,2014-05-14,Okayama Astrophysical Observatory
40,91 Aqr,b,91 Aqr b,Radial Velocity,1,181.40000000,0.700000,0.027000,,3.20000,Msini,,,0,0,0,0,23h15m53.50s,348.972900,-09d05m15.9s,-9.087737,44.08,4.250,V (Johnson),3.863,4665.00,1.40,11.00,2014-05-14,Lick Observatory
41,AB Pic,b,AB Pic b,Imaging,1,,260.000000,,,13.50000,Mass,,,0,0,0,0,06h19m12.91s,94.803802,-58d03m15.5s,-58.054310,50.12,9.128,V (Johnson),8.838,,,,2014-05-14,Paranal Observatory
42,BD+03 2562,b,BD+03 2562 b,Radial Velocity,1,481.90000000,1.300000,0.200000,,6.40000,Msini,,,0,0,0,0,11h50m15.55s,177.564804,+02d45m36.5s,2.760142,2618.00,9.580,V (Johnson),8.998,4095.00,1.14,32.35,2017-06-15,Multiple Observatories
43,BD+14 4559,b,BD+14 4559 b,Radial Velocity,1,268.94000000,0.780000,0.290000,,1.04000,Msini,,,0,0,0,0,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,49.42,9.630,V (Johnson),9.351,4864.00,0.49,0.86,2018-09-06,McDonald Observatory
44,BD+15 2375,b,BD+15 2375 b,Radial Velocity,1,153.22000000,0.576000,0.001000,,1.06100,Msini,,,0,0,0,0,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774.00,10.310,V (Johnson),9.992,4649.00,1.08,8.95,2016-02-04,Roque de los Muchachos Observatory
45,BD+15 2940,b,BD+15 2940 b,Radial Velocity,1,137.48000000,0.539000,0.260000,,1.11000,Msini,,,0,0,0,0,16h00m22.94s,240.095566,+15d32m48.9s,15.546930,431.61,9.046,V (Johnson),8.718,4796.00,1.10,14.70,2014-05-14,McDonald Observatory
46,BD+20 2457,b,BD+20 2457 b,Radial Velocity,2,379.63000000,1.050000,0.150000,,55.59000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2018-09-06,McDonald Observatory
47,BD+20 2457,c,BD+20 2457 c,Radial Velocity,2,621.99000000,2.010000,0.180000,,12.47000,Msini,,,0,0,0,0,10h16m44.86s,154.186910,+19d53m29.1s,19.891409,200.00,9.750,V (Johnson),9.227,4259.00,10.83,71.02,2014-05-14,McDonald Observatory
48,BD+20 274,b,BD+20 274 b,Radial Velocity,1,578.20000000,1.300000,0.210000,,4.20000,Msini,,,0,0,0,0,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,1383.85,9.360,V (Johnson),8.916,4296.00,0.80,17.30,2015-09-18,McDonald Observatory
49,BD+20 594,b,BD+20 594 b,Transit,1,41.68550000,,0.000000,89.550,0.07000,Mass,0.230,,0,0,1,1,03h34m36.23s,53.650967,+20d35m57.2s,20.599232,180.39,11.038,V (Johnson),10.864,5766.00,1.67,1.08,2018-04-26,K2
50,BD+48 738,b,BD+48 738 b,Radial Velocity,1,392.60000000,1.000000,0.200000,,0.91000,Msini,,,0,0,0,0,02h42m50.45s,40.710224,+49d35m13.1s,49.586960,892.17,9.140,V (Johnson),8.656,4414.00,0.74,11.00,2015-08-13,McDonald Observatory
51,BD+48 740,b,BD+48 740 b,Radial Velocity,1,733.00000000,1.700000,0.760000,,1.70000,Msini,,,0,0,0,0,02h42m58.22s,40.742569,+48d55m48.2s,48.930061,678.94,8.699,V (Johnson),8.264,4534.00,1.09,10.33,2018-02-01,Multiple Observatories
52,BD+49 828,b,BD+49 828 b,Radial Velocity,1,2590.00000000,4.200000,0.350000,,1.60000,Msini,,,0,0,0,0,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,447.59,9.380,V (Johnson),9.029,4943.00,1.52,7.60,2015-02-05,McDonald Observatory
53,BD-06 1339,b,BD-06 1339 b,Radial Velocity,2,3.87280000,0.042800,0.000000,,0.02700,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,La Silla Observatory
54,BD-06 1339,c,BD-06 1339 c,Radial Velocity,2,125.94000000,0.435000,0.310000,,0.17000,Msini,,,0,0,0,0,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.28,9.700,V (Johnson),9.107,4324.00,0.70,,2014-05-14,La Silla Observatory
55,BD-08 2823,b,BD-08 2823 b,Radial Velocity,2,5.60000000,0.060000,0.150000,,0.04000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2018-09-06,La Silla Observatory
56,BD-08 2823,c,BD-08 2823 c,Radial Velocity,2,237.60000000,0.680000,0.190000,,0.33000,Msini,,,0,0,0,0,10h00m47.72s,150.198837,-09d31m00.0s,-9.516680,41.38,9.880,V (Johnson),9.503,4816.00,0.50,0.71,2014-05-14,La Silla Observatory
57,BD-10 3166,b,BD-10 3166 b,Radial Velocity,1,3.48777000,0.040000,0.020000,,0.59000,Msini,,,0,0,0,0,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80.00,10.080,V (Johnson),9.840,5393.00,1.47,0.91,2018-09-06,W. M. Keck Observatory
58,BD-11 4672,b,BD-11 4672 b,Radial Velocity,1,1667.00000000,2.280000,0.050000,,0.53000,Msini,,,0,0,0,0,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.30,9.990,V (Johnson),9.485,4475.00,0.57,0.52,2015-01-08,La Silla Observatory
59,BD-13 2130,b,BD-13 2130 b,Radial Velocity,1,714.29999000,1.660000,0.210000,,9.78000,Msini,,,0,0,0,0,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766.00,9.450,V (Johnson),9.700,4545.00,2.12,19.17,2018-09-06,La Silla Observatory
60,BD-17 63,b,BD-17 63 b,Radial Velocity,1,655.59998000,1.340000,0.540000,,2.85000,Msini,,,0,0,0,0,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,34.49,9.566,V (Johnson),9.201,4665.00,0.31,0.74,2018-09-06,La Silla Observatory
61,CFBDSIR J145829+101343,b,CFBDSIR J145829+101343 b,Imaging,1,10037.50000000,2.600000,,,10.50000,Mass,,,0,0,0,1,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.10,,,,580.50,0.02,,2014-05-14,W. M. Keck Observatory
62,CHXR 73,b,CHXR 73 b,Imaging,1,,210.000000,,,12.56900,Mass,,,0,0,0,0,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,191.05,,,17.293,,0.35,,2014-05-14,Hubble Space Telescope
63,CT Cha,b,CT Cha b,Imaging,1,,440.000000,,,17.00000,Mass,2.200,,0,0,0,0,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165.00,,,11.773,,,,2014-05-14,Paranal Observatory
64,CoRoT-1,b,CoRoT-1 b,Transit,1,1.50895570,,0.000000,85.100,1.03000,Mass,1.490,0.38000,0,0,0,0,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,805.31,13.600,V (Johnson),13.457,5950.00,0.95,1.11,2014-05-14,CoRoT
65,CoRoT-10,b,CoRoT-10 b,Transit,1,13.24060000,0.105500,0.530000,88.550,2.75000,Mass,0.970,3.70000,0,0,0,0,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.00,15.220,V (Johnson),14.665,5075.00,0.89,0.79,2014-05-14,CoRoT
66,CoRoT-11,b,CoRoT-11 b,Transit,1,2.99433000,0.043600,0.000000,83.170,2.33000,Mass,1.430,0.99000,0,0,0,0,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560.00,12.939,V (Johnson),12.841,6440.00,1.27,1.37,2014-05-14,CoRoT
67,CoRoT-12,b,CoRoT-12 b,Transit,1,2.82804200,0.040160,0.070000,85.480,0.91700,Mass,1.440,0.41100,0,0,0,0,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.00,15.515,V (Johnson),15.345,5675.00,1.08,1.12,2014-05-14,CoRoT
68,CoRoT-13,b,CoRoT-13 b,Transit,1,4.03519000,0.051000,0.000000,88.020,1.30800,Mass,0.885,2.34000,0,0,0,0,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060.00,15.039,V (Johnson),14.915,5945.00,1.09,1.01,2014-05-14,CoRoT
69,CoRoT-14,b,CoRoT-14 b,Transit,1,1.51214000,0.027000,0.000000,79.600,7.60000,Mass,1.090,7.30000,0,0,0,0,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.00,16.033,V (Johnson),15.812,6035.00,1.13,1.21,2014-05-14,CoRoT
70,CoRoT-16,b,CoRoT-16 b,Transit,1,5.35227000,0.061800,0.330000,85.010,0.53500,Mass,1.170,0.44000,0,0,0,0,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840.00,15.630,V (Johnson),15.651,5650.00,1.10,1.19,2014-05-14,CoRoT
71,CoRoT-17,b,CoRoT-17 b,Transit,1,3.76810000,0.046100,0.000000,88.340,2.43000,Mass,1.020,2.82000,0,0,0,0,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.00,15.460,V (Johnson),15.437,5740.00,1.04,1.59,2014-05-14,CoRoT
72,CoRoT-18,b,CoRoT-18 b,Transit,1,1.90006930,0.029500,0.080000,86.500,3.47000,Mass,1.310,2.20000,0,0,0,0,06h32m41.38s,98.172410,-00d01m53.7s,-0.031586,870.00,15.000,V (Johnson),14.801,5440.00,0.95,1.00,2014-05-14,CoRoT
73,CoRoT-19,b,CoRoT-19 b,Transit,1,3.89713000,0.051800,0.047000,88.000,1.11000,Mass,1.290,0.71000,0,0,0,0,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.00,14.007,V (Johnson),13.783,6090.00,1.21,1.65,2014-05-14,CoRoT
74,CoRoT-2,b,CoRoT-2 b,Transit,1,1.74299350,0.027980,0.014300,88.080,3.47000,Mass,1.466,1.47000,0,0,0,1,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200.00,12.570,V (Johnson),12.249,5625.00,0.96,0.91,2014-05-14,CoRoT
75,CoRoT-20,b,CoRoT-20 b,Transit,2,9.24285000,0.090000,0.590000,88.210,4.30000,Mass,,,0,0,0,1,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,14.660,V (Johnson),14.469,,1.14,,2018-07-19,CoRoT
76,CoRoT-20,c,CoRoT-20 c,Radial Velocity,2,1675.00000000,2.900000,0.600000,,17.00000,Msini,,,0,0,0,0,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,864.31,14.660,V (Johnson),14.469,,1.14,,2018-07-19,Multiple Observatories
77,CoRoT-22,b,CoRoT-22 b,Transit,1,9.75598000,0.092000,0.077000,89.749,0.03800,Mass,0.435,0.24900,0,0,0,0,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592.00,13.944,V (Johnson),13.730,5939.00,1.10,1.14,2014-08-21,CoRoT
78,CoRoT-23,b,CoRoT-23 b,Transit,1,3.63130000,0.048000,0.160000,85.700,2.80000,Mass,1.050,3.00000,0,0,0,0,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600.00,15.630,V (Johnson),15.068,5900.00,1.14,1.61,2014-05-14,CoRoT
79,CoRoT-24,b,CoRoT-24 b,Transit,2,5.11340000,0.056000,0.000000,86.500,0.01800,Mass,0.330,0.90000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,,15.180,4950.00,0.91,0.86,2018-05-31,CoRoT
80,CoRoT-24,c,CoRoT-24 c,Transit,2,11.75900000,0.098000,0.000000,89.000,0.08800,Mass,0.440,1.30000,0,0,0,0,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600.00,,,15.180,4950.00,0.91,0.86,2014-06-11,CoRoT
81,CoRoT-25,b,CoRoT-25 b,Transit,1,4.86069000,0.057800,0.000000,84.500,0.27000,Mass,1.080,0.15000,0,0,0,0,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000.00,,,14.711,6040.00,1.09,1.19,2014-05-14,CoRoT
82,CoRoT-26,b,CoRoT-26 b,Transit,1,4.20474000,0.052600,0.000000,86.800,0.52000,Mass,1.260,0.28000,0,0,0,0,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670.00,,,15.468,5590.00,1.09,1.79,2014-05-14,CoRoT
83,CoRoT-27,b,CoRoT-27 b,Transit,1,3.57532000,0.047600,0.065000,86.700,10.39000,Mass,1.007,12.60000,0,0,0,0,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1035.15,15.540,V (Johnson),15.390,5900.00,1.05,1.08,2014-05-14,CoRoT
